Section,Question,Answer
Section 1: Company Profile & Strategic Alignment,Company Name,Our internal R&D team consists of 20+ AI engineers using PyTorch and MLFlow.
Section 1: Company Profile & Strategic Alignment,Annual Revenue,$250M - $500M
Section 1: Company Profile & Strategic Alignment,Number of Employees,1000-2000
Section 1: Company Profile & Strategic Alignment,Primary NAICS Codes,Our internal R&D team consists of 20+ AI engineers using PyTorch and MLFlow.
Section 1: Company Profile & Strategic Alignment,"Size Classification (Small Business, Mid-Tier, Large Prime)",We are actively expanding our AI portfolio across multiple functions.
Section 1: Company Profile & Strategic Alignment,"Primary Government Customers (DoD, IC, Civilian Agencies)",We are actively expanding our AI portfolio across multiple functions.
Section 1: Company Profile & Strategic Alignment,What is your company's overall mission and how does AI fit into it?,Our internal R&D team consists of 20+ AI engineers using PyTorch and MLFlow.
Section 1: Company Profile & Strategic Alignment,"Do you have a formal AI strategy or roadmap? If yes, please provide details or documents.",Our go-to-market strategy includes rapid POCs and pre-negotiated pilot contracts.
Section 1: Company Profile & Strategic Alignment,Which of the following best describes your AI posture?,Our go-to-market strategy includes rapid POCs and pre-negotiated pilot contracts.
Section 1: Company Profile & Strategic Alignment,"Is there a designated AI lead, chief AI officer, or equivalent executive role? If yes, provide name/title.",Our internal R&D team consists of 20+ AI engineers using PyTorch and MLFlow.
Section 1: Company Profile & Strategic Alignment,Get-Well Plan – Section 1: Company Profile & Strategic Alignment,Investing in federated learning and privacy-preserving AI tools.
Section 2: AI Capabilities & Technical Maturity,Which of the following AI/ML capabilities does your company currently possess or deliver?,We have delivered AI solutions under DoD contracts via the Tradewind OTA.
Section 2: AI Capabilities & Technical Maturity,"Describe your internal AI development capability (e.g., number of AI/ML engineers, data scientists, tools used).",Currently exploring GenAI with OpenAI's GPT-4 and Anthropic Claude.
Section 2: AI Capabilities & Technical Maturity,"Do you use open-source, proprietary, or government-provided models? Please specify examples.",We plan to double our AI staff and achieve IL5 compliance by Q2 next year.
Section 2: AI Capabilities & Technical Maturity,What development frameworks and toolchains are most commonly used?,We lack structured AI governance but plan to implement an ethics framework.
Section 2: AI Capabilities & Technical Maturity,Do you have a formal AI/ML lifecycle management system in place?,We have delivered AI solutions under DoD contracts via the Tradewind OTA.
Section 2: AI Capabilities & Technical Maturity,"Do you conduct independent AI R&D? If yes, list notable efforts, funding sources, or publications.",We plan to double our AI staff and achieve IL5 compliance by Q2 next year.
Section 2: AI Capabilities & Technical Maturity,Do you have a data infrastructure strategy?,Investing in federated learning and privacy-preserving AI tools.
Section 2: AI Capabilities & Technical Maturity,Get-Well Plan – Section 2: AI Capabilities & Technical Maturity,Currently exploring GenAI with OpenAI's GPT-4 and Anthropic Claude.
Section 3: Government AI Integration & Contract Performance,On which contracts have you delivered AI-enabled capabilities?,Currently exploring GenAI with OpenAI's GPT-4 and Anthropic Claude.
Section 3: Government AI Integration & Contract Performance,Are you currently on or pursuing any AI-specific IDIQs/BPAs?,"We partner with AWS, NVIDIA, and several academic institutions."
Section 3: Government AI Integration & Contract Performance,What security clearances or environments can your AI solutions operate within?,We have delivered AI solutions under DoD contracts via the Tradewind OTA.
Section 3: Government AI Integration & Contract Performance,"Have you worked with government stakeholders on AI testing, evaluation, red teaming, or risk management?",Our internal R&D team consists of 20+ AI engineers using PyTorch and MLFlow.
Section 3: Government AI Integration & Contract Performance,"How do you ensure explainability, fairness, and ethical AI in federal applications?",Our internal R&D team consists of 20+ AI engineers using PyTorch and MLFlow.
Section 3: Government AI Integration & Contract Performance,"Are your AI tools or models accredited or certified for government use? If yes, list them.",Our internal R&D team consists of 20+ AI engineers using PyTorch and MLFlow.
Section 3: Government AI Integration & Contract Performance,How does your company typically introduce AI capabilities to potential government clients?,Investing in federated learning and privacy-preserving AI tools.
Section 3: Government AI Integration & Contract Performance,Do you use proof-of-concepts (POCs) or minimum viable products (MVPs) to demonstrate AI capabilities? Please provide examples.,Minimal progress on model management; developing capabilities in next 12 months.
Section 3: Government AI Integration & Contract Performance,What is your go-to-market strategy for AI solutions in the public sector?,Minimal progress on model management; developing capabilities in next 12 months.
